Kecamatan,NPSN,Nama_sekolah,Jenjang,Status,Alamat lengkap,,Telepon,SPP,,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,Pendidik,Tenaga Kependidikan,Gaji Guru,Kurikulum,NPYP,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Pimpinan Yayasan,PIC/Operator,Nomor Telepon_yayasan,Tanggal SK Pendirian,Umur,Tanggal SK Operasional,Sumber Listrik,meter listrik,luas tanah,harga_listrik_per_bulan,Harga Tanah Pasaran per kecamatan,By power (jumlah siswa * spp),alamat lengkap,estimasi harga tanah sekolah,Website,is_website,is_agama,is_surabaya,Telepon_sekolah,Nama_Kepsek,Nama_Operator_Sekolah,Email_sekolah,average peserta didik yayasan,Lintang,Bujur
KEC. SAMBI KEREP,20533125,SD KHADIJAH 3,SD,SWASTA,"Jl. Raya Lontar Candi Lempung 2-4, Lontar, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",317530801,031317530801,,,A,1,18,25,3,18,0,2,25,3,,Kurikulum Merdeka,AW8737,YAYASAN TAMAN PENDIDIKAN DAN SOSIAL NAHDLATUL ULAMA KHADIJAH,14,6,"Prof. Dr. H. M. Ridlwan Nasir, MA",Abdul Manan,318286348,1992,33,2011,PLN,66000,7810,26928000000,12350000,,"Jl. Raya Rungkut Kidul No. 26 Surabaya, Rungkut Kidul, Kec. Rungkut, Kota Surabaya, Jawa Timur",96453500000,-,0,0,1,317400487,Nurul Hidayati,Eko Rachmat Mulya,sdkh3sby@gmail.com,221,,
KEC. RUNGKUT,20532799,SMP ISLAM JIWA NALA,SMP,SWASTA,"Jl. Raya Kedung Asem No.47 - 49, Kedung Baruk, Kec. Rungkut, Kota Surabaya, Jawa Timur",315045058,031315045058,,,A,9,1,3,1,6,3,1,3,6,,Kurikulum Merdeka,AK3058,Yayasan Pendidikan Islam Jiwa Nala,2,2,"Akmad Musa Hadi, S.Kom",Mujiono,318709193,1984,41,2019,PLN,23000,3288,9384000000,7760000,,"Jl. Bungkal No.40 B1, Sambikerep, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",25514880000,http://smpislamjiwanalasurabaya.blogspot.com,0,1,1,318796311,Abdullah Munif,DIMAS ARIANTO,smpislamjiwanala@yahoo.co.id,10,,
KEC. RUNGKUT,20532994,SD ISLAM WACHID HASYIM,SD,SWASTA,"Jl. Raya Rungkut Kidul No. 26 Surabaya, Rungkut Kidul, Kec. Rungkut, Kota Surabaya, Jawa Timur",315045221,031315045221,,,A,11,10,15,1,7,3,1,15,15,,Kurikulum Merdeka,AI7187,TAKMIRUL MASJID AL MUSTHOFA,3,3,A. Sa'di Murozik,MOHAMMAD ZAINUDIN,8791792,2008,17,2023,PLN,3599,361800,1468392000,7760000,,"Jl. Raya Kedung Asem No. 47 - 49, Kedung Baruk, Kec. Rungkut, Kota Surabaya, Jawa Timur",2807568000000,-,0,1,1,318431102,Itfirun Nafid,NURUN MAULUDAN NIA,sdi.wachid.hasyim.rungkut@gmail.com,71,-7.329000,112.76860
KEC. SAMBI KEREP,69904108,TK BUSTANUL ULUM,TK,SWASTA,"Jl. Bungkal No.40 B1, Sambikerep, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",82337387539,082337387539,,,B,28,2,2,1,3,0,0,2,2,,Kurikulum Merdeka,AI7396,PENDIDIKAN BUSTANUL ULUM,1,1,"MARSAID,S.Si.,M.Si",INAYAH WULANDARI,-,2014,11,2014,PLN,1300,192,530400000,12350000,,"Tenggilis, Kali Rungkut, Kec. Rungkut, Kota Surabaya, Jawa Timur",2371200000,-,0,0,1,82337387539,SITI NUR FADILAH,SITI NURFADILAH,tk.bustanul.ulum.02@gmail.com,28,,
KEC. RUNGKUT,20533050,SD ISLAM JIWA NALA SURABAYA,SD,SWASTA,"Jl. Raya Kedung Asem No. 47 - 49, Kedung Baruk, Kec. Rungkut, Kota Surabaya, Jawa Timur",315045262,031315045262,,,A,11,3,4,3,8,3,1,4,4,,Kurikulum Merdeka,AK3058,Yayasan Pendidikan Islam Jiwa Nala,2,2,"Akmad Musa Hadi, S.Kom",Mujiono,318709193,2008,17,2021,PLN,1900,2800,775200000,7760000,,"Jl. Bangkingan Timur V / 1, Bangkingan, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",21728000000,http://www.jiwanala.org,1,1,1,318792634,Rofiq,Durrotul Khauroil Aula,sdijiwanala@yahoo.co.id,10,-7.321900,112.77540
KEC. RUNGKUT,20532597,SMP TENGGILIS JAYA,SMP,SWASTA,"Tenggilis, Kali Rungkut, Kec. Rungkut, Kota Surabaya, Jawa Timur",315044063,031315044063,,,B,12,3,7,3,3,1,1,7,3,,Kurikulum Merdeka,AH1257,YAYASAN TENGGILIS MEJOYO,1,1,"DRS. ANTONIUS P. WIGIG, R, MM",Retno Mumpuni,Belum Tersedia,1984,41,1910,PLN,1300,177,530400000,7760000,,"Jl. Telaga Utama Blok Di 31-32 Bukit Golf Citraraya, Jeruk, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",1373520000,-,0,0,1,318496351,Hari Poedjo Irianto,ADAWIYA KURNIANINGSIH,smp_tj@yahoo.co.id,12,,
KEC. LAKARSANTRI,69812715,KB PERMATA BUNDA,KB,SWASTA,"Jl. Bangkingan Timur V / 1, Bangkingan, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",317530802,031317530802,,,B,39,2,4,1,3,0,0,4,3,,Kurikulum Merdeka,,,0,0,-,-,-,2013,12,2014,PLN,2200,10000,897600000,12670000,,"Lidah Kulon Gg.Iii No 27, Lidah Kulon, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",126700000000,-,0,0,1,819331550442,"MAKRUMAH, SAG.",ANYTALIA PUTRI FARAHITA,kbitpermatabunda@gmail.com,39,,
KEC. LAKARSANTRI,69937825,KB SNA MONTESSORI,KB,SWASTA,"Jl. Telaga Utama Blok Di 31-32 Bukit Golf Citraraya, Jeruk, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",317530803,031317530803,,,A,5,0,2,0,0,0,0,2,2,,Kurikulum Merdeka,AL6829,YAYASAN SINGAPORE PIAGET ACADEMY,3,3,RATNALISA BATANGHARI,Fenny Kodrajaja,031 853 1920,2014,11,2020,PLN & DIESEL,,0,0,12670000,,"Jl. Mastrip Warugunung 3 Surabaya, Warugunung, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",0,http://www.sna.sch.id,1,0,1,317419694,Aulia Fika Sari,Rahma Aulia Zulfa,snaleadership@gmail.com,11,,
KEC. LAKARSANTRI,69931811,TK ISLAM ULUL ALBAB 27,TK,SWASTA,"Lidah Kulon Gg.Iii No 27, Lidah Kulon, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",317530804,031317530804,,,B,30,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,AK3145,Ulul Albab 27,2,2,Rohbi Mulyo,IRAWAN HADI,-,2015,10,2015,PLN & DIESEL,1300,452,530400000,12670000,,"Jl. Kupang Indah Ix/19, Dukuh Kupang, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",5726840000,-,0,1,1,81330113073,Nur Kholilah,nur kholilah,tk.islam.ululalbab27@gmail.com,30,,
KEC. KARANG PILANG,20532587,SMP TUNAS SAWUNGGALING,SMP,SWASTA,"Jl. Mastrip Warugunung 3 Surabaya, Warugunung, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",317530805,031317530805,3000000,,B,56,3,7,2,4,2,1,7,7,,Kurikulum Merdeka,AE6518,Pendidikan Sawunggaling,1,1,Dra SUJATI RUDYANI,HELARIA SAJEKTI DWI ERNANI,3191083144,1990,35,2020,PLN,4398,202,1794384000,7000000,,"Rungkut Mapan Tengah Ii Db 12 A, Rungkut Tengah, Kec. Gununganyar, Kota Surabaya, Jawa Timur",1414000000,http://tsawunggaling.ac.id,1,0,1,88801719495,"Antonius Catur Hermawan, S.E.",Achmad Burhanuddin,tsawunggaling@yahoo.co.id,56,,
