NPSN,Nama_sekolah,Kota,,Kelurahan,Kecamatan,,Alamat lengkap,No.Telp,Website,RT dan RW,Kode Pos,Alamat,,,,,Jenjang,Kurikulum,Akreditasi,Kurikulum,Kepala Sekolah,Operator,Peserta Didik,No.Telp,Tanggal SK Operasional,Tanggal SK Pendirian,Umur,NPYP,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Harga Tanah Pasaran per kecamatan,luas tanah,estimasi harga tanah sekolah,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,meter listrik,per kWh,tarif per kWh,harga_listrik_per_bulan,is_website,is_agama,is_surabaya,SPP,Prediksi SPP
20501692,SMK KRIAN 1 SIDOARJO,Kab. Sidoarjo,Sidoarjo,Katerungan,Kec. Krian,Krian,"Jl. Raya Sidoarjo, Katerungan, Kec. Krian, Kab. Sidoarjo, Jawa Timur 61262",031318971207,http://www.smkkrian1.sch.id,12 / 2,61262,JL. RAYA SIDOARJO,JL. RAYA SIDOARJO,Jl. Raya Sidoarjo,Jl. Raya Sidoarjo,Jl. Raya Sidoarjo,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Dhini Mekarsari,ANDY MOHAMAD SURYO,2559,318971207,2020,1971,54,AB0777,YAYASAN PEMBANGUNAN PENDIDIKAN KRIAN SIDOARJO,3,2,2600000,12506,32515600000,65,66,20,34,11,2,11000,88000,1700,149600000,1,0,0,"Rp220,000",
20540077,SMK ANTARTIKA 2 SIDOARJO,Kab. Sidoarjo,Sidoarjo,Siwalan Panji,Kec. Buduran,Buduran,"Jl. Siwalanpanji, Siwalan Panji, Kec. Buduran, Kab. Sidoarjo, Jawa Timur 61252",031318065117,http://smkantartika2-sda.sch.id,12 / 2,61252,JL. SIWALANPANJI,JL. SIWALANPANJI,Jl. Siwalanpanji,Jl. Siwalanpanji,Jl. Siwalanpanji,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Retno Purwolystiorini,DONNY PRAWIDYA WARDHANA,2326,318065117,2024,2002,23,AB4903,YAYASAN PENDIDIKAN WAHYUHANA SURABAYA,6,3,3500000,8322,29127000000,67,67,10,40,5,1,115500,924000,1700,1570800000,1,0,0,"Rp140,000",
20501716,SMK KRIAN 2 SIDOARJO,Kab. Sidoarjo,Sidoarjo,Katerungan,Kec. Krian,Krian,"Jl. Sidoarjo, Katerungan, Kec. Krian, Kab. Sidoarjo, Jawa Timur 61262",031318985188,http://www.smkkrian2.sch.id,0 / 0,61262,JL. SIDOARJO,JL. SIDOARJO,Jl. Sidoarjo,Jl. Sidoarjo,Jl. Sidoarjo,SMK,Kurikulum Merdeka,B,Kurikulum Merdeka,Indra Wahyu Suliswanto,Bagas Wahyu Handala Putra,1912,318985188,2023,2000,25,AB0777,YAYASAN PEMBANGUNAN PENDIDIKAN KRIAN SIDOARJO,3,2,2600000,8544,22214400000,47,46,23,17,7,1,179950,1439600,1700,2447320000,1,0,0,,"Rp587,271"
20577261,SMK SEPULUH NOPEMBER SIDOARJO,Kab. Sidoarjo,Sidoarjo,Siwalan Panji,Kec. Buduran,Buduran,"Jl. Raya Siwalan Panji, Siwalan Panji, Kec. Buduran, Kab. Sidoarjo, Jawa Timur 61252",031318050111,http://www.SMKepuluhnopembersda.sch.id/,0 / 0,61252,RAYA SIWALAN PANJI,RAYA SIWALAN PANJI,Raya Siwalan Panji,Raya Siwalan Panji,Jl. Raya Siwalan Panji,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Ratih Wulansari,ABDUL HARIS,1831,318050111,2023,2011,14,AK0993,Yayasan Purnama,6,5,3500000,9896,34636000000,44,44,8,35,10,1,131000,1048000,1700,1781600000,1,0,0,"Rp300,000",
20501709,SMK YPM 1 TAMAN SIDOARJO,Kab. Sidoarjo,Sidoarjo,Ngelom,Kec. Taman,Taman,"Jl. Raya Ngelom No.86, Ngelom, Kec. Taman, Kab. Sidoarjo, Jawa Timur 61257",031317885076,http://www.smkypm1taman.sch.id,3 / 3,61257,JL. RAYA NGELOM NO.86,JL. RAYA NGELOM NO.86,Jl. Raya Ngelom No.86,Jl. Raya Ngelom No.86,Jl. Raya Ngelom No.86,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Harjono,ADI KURNIAWAN,1754,317885076,2024,1980,45,AB0703,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,5500000,6845,37647500000,42,54,5,39,10,1,100000,800000,1700,1360000000,1,0,0,Rp0,
20540110,SMK YPM 8 SIDOARJO,Kab. Sidoarjo,Sidoarjo,Sari Rogo,Kec. Sidoarjo,Sidoarjo,"Jl. Raya Sarirogo No.481, Sari Rogo, Kec. Sidoarjo, Kab. Sidoarjo, Jawa Timur 61251",081230080007,http://smkypm8.sch.id,1 / 1,61251,JL. RAYA SARIROGO NO.481,JL. RAYA SARIROGO NO.481,Jl. Raya Sarirogo No.481,Jl. Raya Sarirogo No.481,Jl. Raya Sarirogo No.481,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Kisyanto Sm,Muhammad Arif Rahman,1678,81230080007,2021,1995,30,AB0703,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,4500000,5000,22500000000,41,32,1,25,3,1,0,0,1700,0,1,0,0,Rp0,
20501717,SMK ANTARTIKA 1 SIDOARJO,Kab. Sidoarjo,Sidoarjo,Siwalan Panji,Kec. Buduran,Buduran,"Jl. Siwalanpanji, Siwalan Panji, Kec. Buduran, Kab. Sidoarjo, Jawa Timur 61252",031318962851,http://www.smkantartika1sda.sch.id,7 / 2,61252,JL. SIWALANPANJI,JL. SIWALANPANJI,Jl. Siwalanpanji,Jl. Siwalanpanji,Jl. Siwalanpanji,SMK,Kurikulum Merdeka,A,Kurikulum Merdeka,Akhmad Nasirudin,Mista,1614,318962851,2023,1974,51,AB4903,YAYASAN PENDIDIKAN WAHYUHANA SURABAYA,6,3,3500000,6918,24213000000,48,57,8,41,2,1,0,0,1700,0,1,0,0,Rp0,
20540072,SMA WACHID HASYIM 2,Kab. Sidoarjo,Sidoarjo,Ngelom,Kec. Taman,Taman,"Jl. Raya Ngelom 86, Ngelom, Kec. Taman, Kab. Sidoarjo, Jawa Timur 61257",0317881734,http://www.smawh2.sch.id,3 / 3,61257,JL. RAYA NGELOM 86,JL. RAYA NGELOM 86,Jl. Raya Ngelom 86,Jl. Raya Ngelom 86,Jl. Raya Ngelom 86,SMA,Kurikulum Merdeka,A,Kurikulum Merdeka,Ummi Nahdliyah,IMAM SYARIFUDDIN ZUHRI,1464,7881734,2023,1976,49,AB0703,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,5500000,1448,7964000000,36,50,7,36,5,1,50000,400000,1700,680000000,1,0,0,"Rp330,000",
20540046,SMA AL ISLAM KRIAN,Kab. Sidoarjo,Sidoarjo,Jeruk Gamping,Kec. Krian,Krian,"Jl. Kyai Mojo No.14, Jeruk Gamping, Kec. Krian, Kab. Sidoarjo, Jawa Timur 61262",031318971240,http://www.smaliska.sch.id,2 / 1,61262,JL. KYAI MOJO NO.14,JL. KYAI MOJO NO.14,Jl. Kyai Mojo No.14,Jl. Kyai Mojo No.14,Jl. Kyai Mojo No.14,SMA,Kurikulum Merdeka,A,Kurikulum Merdeka,Suharyono Az,MOCH MA'RUF FEBRIANSYAH,1450,318971240,2022,2020,5,AE2840,Yayasan Perguruan Al-Islam Krian,4,4,2600000,82110,213486000000,41,63,20,50,9,1,23000,184000,1700,312800000,1,1,0,"Rp1,000,000",
20540048,SMA ANTARTIKA,Kab. Sidoarjo,Sidoarjo,Siwalan Panji,Kec. Buduran,Buduran,"Jl. Siwalanpanji No. 6, Siwalan Panji, Kec. Buduran, Kab. Sidoarjo, Jawa Timur 61252",0318963950,http://www.smaantarda.org,9 / 4,61252,JL. SIWALANPANJI NO. 6,JL. SIWALANPANJI NO. 6,Jl. Siwalanpanji No. 6,Jl. Siwalanpanji No. 6,Jl. Siwalanpanji No. 6,SMA,Kurikulum Merdeka,A,Kurikulum Merdeka,Mudjaini Achmad,DWI PRABOWO,1435,8963950,2023,1974,51,AB4903,YAYASAN PENDIDIKAN WAHYUHANA SURABAYA,6,3,3500000,8731,30558500000,40,60,26,40,6,2,900,7200,1700,12240000,1,0,0,"Rp430,000",
