NPSN,Nama_sekolah,Jenjang,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,SPP,Kurikulum,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Tanggal SK Pendirian,Umur,meter listrik,harga_listrik_per_bulan,luas tanah,Harga Tanah Pasaran per kecamatan,estimasi harga tanah sekolah,Website,is_surabaya,is_website,is_agama
69849923,SMA SURABAYA INTERCULTURAL SCHOOL,SPK SMA,B,40,3,7,1,9,1,1,26079167,Kurikulum Internasional,Surabaya International School,5,5,1977,48,86000,350880000000,5250,12670000,66517500000,http://sis.sch.id,1,1,0
69849918,SMP SURABAYA INTERCULTURAL SCHOOL,SPK SMP,B,31,3,6,1,5,0,1,25208333,Kurikulum Internasional,Surabaya International School,5,5,1977,48,86000,35088000000,5250,12670000,66517500000,http://www.sis.sch.id,1,1,0
69849910,SD SURABAYA INTERCULTURAL SCHOOL,SPK SD,B,33,6,8,1,7,0,1,22916667,Kurikulum Internasional,Surabaya International School,5,5,1977,48,860000,350880000000,5250,12670000,66517500000,http://www.sis.sch.id,1,1,0
90101119,SURABAYA INTERCULTURAL SCHOOL,SPK TK,A,18,2,1,1,3,0,1,20625000,Kurikulum Internasional,Surabaya International School,5,5,1977,48,50000,20400000000,5250,12670000,66517500000,http://sis.sch.id,1,1,0
69873972,SMA SURABAYA EUROPEAN SCHOOL,SPK SMA,A,392,12,3,3,12,5,1,20000000,Kurikulum Internasional,Surabaya European School,5,5,2001,24,160000,0,1557,12350000,19228950000,http://www.surabayaeuropeanschool.com,1,1,0
69876165,SMP SURABAYA EUROPEAN SCHOOL,SPK SMP,A,30,3,5,5,7,1,1,20000000,Kurikulum Internasional,Surabaya European School,5,5,2001,24,16000,6528000000,1557,12350000,19228950000,http://www.surabayaeuropeanschool.com,1,1,0
20531934,SD AL MUFIDAH,SD,B,107,6,7,1,9,3,1,470000,Kurikulum Merdeka,YPI AL MUFIDAH,1,1,2000,25,2300,938400000,1200,10000000,12000000000,http://www.almufidahkeren.blogspot.com,1,0,1
20549499,SMAS CIPUTRA,SPK SMA,A,362,16,19,5,38,6,1,9426000,Kurikulum Internasional,Yayasan  Ciputra Pendidikan,5,5,1998,27,74998,30599184000,5000,12670000,63350000000,http://sekolahciputra.sch.id,1,1,0
69756322,SMAS ALAM INSAN MULIA,SMA,A,120,5,12,3,6,7,1,1765000,Kurikulum Merdeka,YAYASAN INSAN MULIA,5,5,2012,13,126000,51408000000,5295,12000000,63540000000,http://www.saim.sch.id,1,1,1
20532797,SMP ISLAM AL AZHAR KELAPA GADING SURABAYA,SMP,A,120,6,11,4,6,4,1,1700000,Kurikulum Internasional,YAYASAN AL AZHAR KELAPA GADING,4,4,2002,23,63000,1632000,5285,15750000,83238750000,http://www.sby.alazka.sch.id,1,1,1
20541308,SMP CIPUTRA,SPK SMP,A,326,15,25,1,17,2,1,8000000,Kurikulum Internasional,Yayasan  Ciputra Pendidikan,5,5,1987,38,75000,30600000000,5000,12670000,63350000000,http://www.sekolahciputra.sch.id,1,1,0
20554619,SD MERLION SCHOOL,SPK SD,A,143,9,15,2,11,2,1,6600000,Kurikulum Internasional,Yayasan Pendidikan Satya Vidya Indonesia,5,5,2014,11,33000,13464000000,2500,13750000,34375000000,http://www.merlionis.sch.id,1,1,0
69878673,SMP IVY SCHOOL,SMP,B,50,3,6,3,3,2,1,6000000,Kurikulum Internasional,IVY BHAKTI PERTIWI,4,4,2014,11,13000,5304000000,2296,13300000,30536800000,http://www.ivyschool.sch.id,1,1,0
20531900,SDS CIPUTRA,SPK SD,A,416,20,30,1,23,0,1,6000000,Kurikulum Internasional,Yayasan  Ciputra Pendidikan,5,5,1996,29,75000,408000000,8800,12670000,111496000000,http://www.sekolahciputra.sch.id,1,1,0
70000866,SD SAMPOERNA ACADEMY,SD,A,258,12,15,4,18,2,2,5900000,Kurikulum Internasional,Yayasan Putera Sampoerna,8,5,2019,6,55000,22440000000,5893,13300000,78376900000,http://sampoernaacademy.sch.id,1,1,0
20558917,TK KRISTEN GLORIA 2,TK,A,108,8,11,3,16,0,1,1450000,Kurikulum Internasional,YAYASAN PENDIDIKAN KRISTEN GLORIA,14,5,1995,30,50000,20400000000,4000,24000000,96000000000,http://www.gloriaschool.org,1,1,1
69763520,KB KRISTEN GLORIA 2,KB,A,72,5,7,1,11,0,1,1400000,Kurikulum Internasional,YAYASAN PENDIDIKAN KRISTEN GLORIA,14,5,1995,30,50000,20400000000,4000,24000000,96000000000,http://www.gloriaschool.org,1,1,1
20533039,SD GREAT CRYSTAL SCHOOL,SPK SD,A,67,6,5,1,6,3,1,4500000,Kurikulum Internasional,Pendidikan Sumber Daya Sukses Makmur,4,4,2007,18,7000,2856000000,7000,24000000,168000000000,http://www.great.sch.id,1,1,0
69928461,SMP CIKAL,SMP,A,67,3,10,1,3,2,1,4400000,Kurikulum Internasional,YAYASAN CINTA KELUARGA,5,5,2015,10,197000,80376000000,10360,12350000,127946000000,http://www.cikal.co.id,1,1,0
20533070,SD MUHAMMADIYAH 7 SURABAYA,SD,B,123,7,10,2,7,2,1,375000,Kurikulum Merdeka,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,2000,25,44000,1795200000,552,16890000,9323280000,http://sekolahinovatifjagir.sch.id,1,1,1
69992750,TK SAMPOERNA (SAMPOERNA ACADEMY),TK,A,80,2,5,0,2,0,0,4160000,Kurikulum Internasional,Yayasan Putera Sampoerna,8,5,2019,6,55000,22440000000,2071,13300000,27544300000,www.sampoernaacademy.sch.id,1,1,0
20561209,TK AL - HIKMAH,TK,A,134,9,21,3,12,0,1,1700000,Kurikulum Merdeka,Yayasan LPI Al Hikmah,1,1,2011,14,36000,1468800000,820,10420000,8544400000,http://www.alhikmahsby.sch.id,1,1,1
20532736,SMP KRISTEN YBPK I SURABAYA,SMP,A,125,6,10,3,6,3,1,650000,Kurikulum Merdeka,YBPK GKJW CABANG SURABAYA,4,4,1953,72,33000,13464000000,750,8570000,6427500000,http://smpkybpk-1.sch.id,1,1,1
20584020,SD IVY SCHOOL,SD,A,123,6,8,1,7,2,1,4000000,Kurikulum Internasional,IVY BHAKTI PERTIWI,4,4,1900,125,13000,5304000000,2296,12670000,29090320000,http://www.ivyschool.sch.id,1,1,0
20584025,SMP ELYON CHRISTIAN SECONDARY SCHOOL,SPK SMP,B,412,18,19,3,18,6,1,3926000,Kurikulum Internasional,Yayasan Pendidikan Kristen Elyon,3,3,2002,23,470000,191760000000,8690,13750000,119487500000,http://www.elyon.sch.id,1,1,0
69873955,SD SINGAPORE NATIONAL ACADEMY,SPK SD,B,154,10,6,3,12,2,1,3830000,Kurikulum Internasional,YAYASAN SINGAPORE PIAGET ACADEMY,8,8,2004,21,146999,0,,7530000,,http://www.v2.sna.sch.id,0,1,0
